Número de sociedades y capital (en miles de euros);Comunidades y Ciudades Autónomas;Forma jurídica;Periodo;Total
Número de Sociedades;Total Nacional;Total;2018M02;8.738
Número de Sociedades;Total Nacional;Total;2018M03;9.265
Número de Sociedades;Total Nacional;Total;2018M04;8.817
Número de Sociedades;Total Nacional;Total;2018M05;8.830
Número de Sociedades;Total Nacional;Total;2018M06;8.120
Número de Sociedades;Total Nacional;Total;2018M07;7.695
Número de Sociedades;Total Nacional;Total;2018M08;5.870
Número de Sociedades;Total Nacional;Total;2018M09;5.882
Número de Sociedades;Total Nacional;Total;2018M10;7.723
Número de Sociedades;Total Nacional;Total;2018M11;7.969
Número de Sociedades;Total Nacional;Total;2018M12;6.809
Número de Sociedades;Total Nacional;Total;2019M01;8.995
Número de Sociedades;Total Nacional;Total;2019M02;9.382
Número de Sociedades;Total Nacional;Total;2019M03;9.437
Número de Sociedades;Total Nacional;Total;2019M04;8.683
Número de Sociedades;Total Nacional;Total;2019M05;8.585
Número de Sociedades;Total Nacional;Total;2019M06;7.433
Número de Sociedades;Total Nacional;Total;2019M07;7.825
Número de Sociedades;Total Nacional;Total;2019M08;5.368
Número de Sociedades;Total Nacional;Total;2019M09;5.787
Número de Sociedades;Total Nacional;Total;2019M10;8.029
Número de Sociedades;Total Nacional;Total;2019M11;7.332
Número de Sociedades;Total Nacional;Total;2019M12;7.095
Número de Sociedades;Total Nacional;Total;2020M01;8.658
Número de Sociedades;Total Nacional;Total;2020M02;8.523
Número de Sociedades;Total Nacional;Total;2020M03;6.779
Número de Sociedades;Total Nacional;Total;2020M04;2.314
Número de Sociedades;Total Nacional;Total;2020M05;3.792
Número de Sociedades;Total Nacional;Total;2020M06;6.737
Número de Sociedades;Total Nacional;Total;2020M07;7.641
Número de Sociedades;Total Nacional;Total;2020M08;5.752
Número de Sociedades;Total Nacional;Total;2020M09;6.599
Número de Sociedades;Total Nacional;Total;2020M10;7.396
Número de Sociedades;Total Nacional;Total;2020M11;7.339
Número de Sociedades;Total Nacional;Total;2020M12;7.670
Número de Sociedades;Total Nacional;Total;2021M01;7.811
Número de Sociedades;Total Nacional;Total;2021M02;8.786
Número de Sociedades;Total Nacional;Total;2021M03;10.968
Número de Sociedades;Total Nacional;Total;2021M04;9.218
Número de Sociedades;Total Nacional;Total;2021M05;9.570
Número de Sociedades;Total Nacional;Total;2021M06;9.554
Número de Sociedades;Total Nacional;Total;2021M07;8.379
Número de Sociedades;Total Nacional;Total;2021M08;6.309
Número de Sociedades;Total Nacional;Total;2021M09;6.620
Número de Sociedades;Total Nacional;Total;2021M10;7.348
